Scheme Name	Asset Value
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.7412
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3359
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	12.6819
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.6063
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.8806
BANDHAN Corporate Bond Fund - Regular Growth	18.5833
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.1098
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.5890
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	12.5276
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.6409
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.0172
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	30.6062
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.2466
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.3665
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.2598
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	28.0910
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.4161
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.5840
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	10.9458
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	26.4453
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.2848
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.3857
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	22.5286
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.3070
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	21.0719
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.5272
DSP Corporate Bond Fund - Direct - Growth	15.7173
DSP Corporate Bond Fund - Direct - IDCW	11.9589
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.518
DSP Corporate Bond Fund - Direct - IDCW - Quarterly	11.3612
DSP Corporate Bond Fund - Regular - Growth	15.4613
DSP Corporate Bond Fund - Regular - IDCW	11.9089
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.4962
DSP Corporate Bond Fund - Regular - IDCW - Quarterly	10.7115
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	102.9568
Franklin India Corporate Debt Fund - Growth	95.2563
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.3044
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.4649
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.9765
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	16.8529
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.5935
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.7886
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.0143
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	11.9662
HDFC Corporate Bond Fund - Growth Option	31.4424
HDFC Corporate Bond Fund - Growth Option - Direct Plan	32.1043
HDFC Corporate Bond Fund - IDCW Option	19.0343
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	19.6712
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.4483
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.3151
HSBC Corporate Bond Fund - Direct Annual IDCW	12.485
HSBC Corporate Bond Fund - Direct Growth	75.0398
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.4194
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.3758
HSBC Corporate Bond Fund - Regular Annual IDCW	12.2298
HSBC Corporate Bond Fund - Regular Growth	70.5233
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.025
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	17.0511
HSBC Corporate Bond Fund -Regular Plan - Bonus	26.7886
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	30.2016
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2238
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.2795
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	28.8535
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.3784
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.0488
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1895.0353
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1305.5247
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3284.9236
Invesco India Corporate Bond Fund - Direct Plan - Growth	3283.8895
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1254.809
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1330.8191
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	3222.6677
Invesco India Corporate Bond Fund - Growth	3068.4069
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1758.7088
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1164.1191
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3801.5519
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1073.9197
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3644.9045
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1187.3693
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	12.5499
Mirae Asset Corporate Bond Fund Direct IDCW	12.5472
Mirae Asset Corporate Bond Fund Regular Growth	12.3310
Mirae Asset Corporate Bond Fund Regular IDCW	12.3310
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0923
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0934
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	19.2168
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.7252
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.2008
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.0935
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	43.2978
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	60.6450
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	41.3268
Nippon India Corporate Bond Fund - Growth Plan - Growth Option	57.8651
NIPPON INDIA CORPORATE BOND FUND - IDCW Option	18.5384
NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option	11.5978
NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option	12.0418
NIPPON INDIA CORPORATE BOND FUND - WEEKLY IDCW Option	17.0924
